timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/11 20:03:17.255, 27574 MiB, 4533 MiB, 91 %, 35 %, 80, 2820 MHz, 3090 MHz, 556.96 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:03:47.268, 27574 MiB, 4533 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 558.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:04:17.279, 27574 MiB, 4533 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 554.09 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:04:47.290, 27574 MiB, 4533 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 557.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:05:17.302, 27574 MiB, 4533 MiB, 97 %, 24 %, 82, 2820 MHz, 3090 MHz, 556.72 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:05:47.314, 27574 MiB, 4533 MiB, 13 %, 1 %, 72, 2872 MHz, 3090 MHz, 172.39 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 20:06:17.331, 27574 MiB, 4533 MiB, 99 %, 32 %, 81, 2805 MHz, 3090 MHz, 558.46 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:06:47.342, 27574 MiB, 4533 MiB, 99 %, 33 %, 79, 2820 MHz, 3090 MHz, 557.10 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 20:07:17.353, 27575 MiB, 4532 MiB, 99 %, 32 %, 84, 2805 MHz, 3090 MHz, 564.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:07:47.365, 27575 MiB, 4532 MiB, 96 %, 30 %, 83, 2805 MHz, 3090 MHz, 563.74 W, P1, 0x0000000000000004, Not Active, Active
