timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/11 18:25:49.961, 27580 MiB, 4527 MiB, 73 %, 23 %, 74, 2827 MHz, 3090 MHz, 481.31 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:54.962, 27580 MiB, 4527 MiB, 99 %, 31 %, 77, 2827 MHz, 3090 MHz, 545.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:59.964, 27580 MiB, 4527 MiB, 96 %, 30 %, 77, 2827 MHz, 3090 MHz, 483.51 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:04.966, 27580 MiB, 4527 MiB, 96 %, 31 %, 77, 2827 MHz, 3090 MHz, 547.15 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:09.968, 27580 MiB, 4527 MiB, 99 %, 31 %, 76, 2827 MHz, 3090 MHz, 548.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:14.970, 27580 MiB, 4527 MiB, 96 %, 30 %, 78, 2827 MHz, 3090 MHz, 548.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:19.972, 27580 MiB, 4527 MiB, 98 %, 29 %, 78, 2827 MHz, 3090 MHz, 547.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:24.974, 27580 MiB, 4527 MiB, 99 %, 31 %, 78, 2827 MHz, 3090 MHz, 549.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:29.976, 27580 MiB, 4527 MiB, 86 %, 26 %, 79, 2827 MHz, 3090 MHz, 549.17 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:34.978, 27580 MiB, 4527 MiB, 97 %, 28 %, 79, 2827 MHz, 3090 MHz, 549.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:39.980, 27580 MiB, 4527 MiB, 81 %, 32 %, 77, 2827 MHz, 3090 MHz, 550.15 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:44.982, 27580 MiB, 4527 MiB, 86 %, 27 %, 79, 2827 MHz, 3090 MHz, 550.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:49.984, 27580 MiB, 4527 MiB, 90 %, 37 %, 79, 2827 MHz, 3090 MHz, 550.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:54.986, 27580 MiB, 4527 MiB, 80 %, 31 %, 79, 2850 MHz, 3090 MHz, 480.15 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:59.988, 27580 MiB, 4527 MiB, 97 %, 24 %, 81, 2827 MHz, 3090 MHz, 551.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:04.989, 27580 MiB, 4527 MiB, 93 %, 32 %, 79, 2857 MHz, 3090 MHz, 488.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:09.991, 27580 MiB, 4527 MiB, 99 %, 32 %, 79, 2820 MHz, 3090 MHz, 552.14 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:14.993, 27580 MiB, 4527 MiB, 99 %, 33 %, 80, 2812 MHz, 3090 MHz, 554.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:19.995, 27580 MiB, 4527 MiB, 99 %, 31 %, 79, 2812 MHz, 3090 MHz, 555.31 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:24.998, 27580 MiB, 4527 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 555.05 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:30.000, 27580 MiB, 4527 MiB, 99 %, 32 %, 79, 2812 MHz, 3090 MHz, 552.74 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:35.001, 27580 MiB, 4527 MiB, 99 %, 32 %, 78, 2820 MHz, 3090 MHz, 549.87 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:40.003, 27580 MiB, 4527 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 553.19 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:45.005, 27580 MiB, 4527 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 552.62 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:27:50.007, 27580 MiB, 4527 MiB, 99 %, 33 %, 81, 2820 MHz, 3090 MHz, 550.83 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:55.009, 27580 MiB, 4527 MiB, 99 %, 32 %, 80, 2827 MHz, 3090 MHz, 552.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:00.010, 27580 MiB, 4527 MiB, 99 %, 32 %, 79, 2820 MHz, 3090 MHz, 547.99 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:28:05.013, 27580 MiB, 4527 MiB, 99 %, 31 %, 79, 2827 MHz, 3090 MHz, 550.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:10.014, 27580 MiB, 4527 MiB, 99 %, 33 %, 79, 2820 MHz, 3090 MHz, 552.81 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:28:15.016, 27580 MiB, 4527 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 554.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:20.017, 27580 MiB, 4527 MiB, 99 %, 31 %, 81, 2827 MHz, 3090 MHz, 482.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:25.019, 27580 MiB, 4527 MiB, 96 %, 31 %, 81, 2820 MHz, 3090 MHz, 555.15 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:30.022, 27580 MiB, 4527 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 554.95 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:35.024, 27580 MiB, 4527 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 555.24 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:40.026, 27580 MiB, 4527 MiB, 87 %, 26 %, 81, 2820 MHz, 3090 MHz, 554.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:45.029, 27580 MiB, 4527 MiB, 98 %, 29 %, 81, 2820 MHz, 3090 MHz, 554.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:50.031, 27580 MiB, 4527 MiB, 81 %, 28 %, 81, 2820 MHz, 3090 MHz, 554.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:55.033, 27580 MiB, 4527 MiB, 86 %, 26 %, 81, 2820 MHz, 3090 MHz, 554.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:00.035, 27580 MiB, 4527 MiB, 90 %, 37 %, 81, 2820 MHz, 3090 MHz, 554.89 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:05.036, 27580 MiB, 4527 MiB, 80 %, 35 %, 81, 2820 MHz, 3090 MHz, 554.43 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:10.038, 27580 MiB, 4527 MiB, 98 %, 24 %, 81, 2820 MHz, 3090 MHz, 554.11 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:15.040, 27580 MiB, 4527 MiB, 97 %, 24 %, 79, 2820 MHz, 3090 MHz, 555.24 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:20.041, 27580 MiB, 4527 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 554.61 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:25.043, 27580 MiB, 4527 MiB, 99 %, 31 %, 80, 2842 MHz, 3090 MHz, 477.85 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:30.045, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 555.22 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:35.048, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 555.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:40.049, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 554.67 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:45.051, 27580 MiB, 4527 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 549.60 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:29:50.053, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 551.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:55.055, 27579 MiB, 4528 MiB, 99 %, 31 %, 77, 2820 MHz, 3090 MHz, 552.12 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:30:00.057, 27579 MiB, 4528 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 551.73 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:05.059, 27579 MiB, 4528 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 550.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:10.061, 27579 MiB, 4528 MiB, 96 %, 30 %, 79, 2820 MHz, 3090 MHz, 550.18 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:15.063, 27579 MiB, 4528 MiB, 87 %, 26 %, 81, 2820 MHz, 3090 MHz, 551.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:20.065, 27579 MiB, 4528 MiB, 85 %, 27 %, 81, 2820 MHz, 3090 MHz, 550.17 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:25.066, 27579 MiB, 4528 MiB, 98 %, 26 %, 81, 2820 MHz, 3090 MHz, 553.44 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:30.068, 27579 MiB, 4528 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 550.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:35.070, 27579 MiB, 4528 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 549.59 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:40.072, 27579 MiB, 4528 MiB, 99 %, 31 %, 79, 2827 MHz, 3090 MHz, 507.63 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:45.074, 27579 MiB, 4528 MiB, 99 %, 32 %, 78, 2820 MHz, 3090 MHz, 550.37 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:30:50.076, 27579 MiB, 4528 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 550.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:55.077, 27579 MiB, 4528 MiB, 96 %, 30 %, 79, 2820 MHz, 3090 MHz, 549.52 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:00.079, 27579 MiB, 4528 MiB, 98 %, 30 %, 79, 2820 MHz, 3090 MHz, 550.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:05.081, 27579 MiB, 4528 MiB, 96 %, 27 %, 79, 2820 MHz, 3090 MHz, 550.45 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:10.083, 27579 MiB, 4528 MiB, 91 %, 35 %, 81, 2820 MHz, 3090 MHz, 551.06 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:15.086, 27579 MiB, 4528 MiB, 94 %, 31 %, 81, 2827 MHz, 3090 MHz, 552.11 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:20.088, 27579 MiB, 4528 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 552.57 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:25.090, 27579 MiB, 4528 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 552.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:30.091, 27579 MiB, 4528 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 546.41 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:35.095, 27579 MiB, 4528 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 552.07 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:40.096, 27579 MiB, 4528 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 550.81 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:45.098, 27579 MiB, 4528 MiB, 96 %, 30 %, 79, 2820 MHz, 3090 MHz, 550.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:50.100, 27579 MiB, 4528 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 550.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:55.102, 27579 MiB, 4528 MiB, 92 %, 27 %, 79, 2835 MHz, 3090 MHz, 491.60 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:00.104, 27579 MiB, 4528 MiB, 91 %, 33 %, 79, 2827 MHz, 3090 MHz, 549.22 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:05.106, 27579 MiB, 4528 MiB, 97 %, 28 %, 81, 2820 MHz, 3090 MHz, 503.49 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:32:10.108, 27579 MiB, 4528 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 550.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:15.110, 27579 MiB, 4528 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 499.01 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:32:20.111, 27579 MiB, 4528 MiB, 99 %, 32 %, 79, 2812 MHz, 3090 MHz, 553.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:25.113, 27579 MiB, 4528 MiB, 99 %, 31 %, 77, 2820 MHz, 3090 MHz, 489.68 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:32:30.115, 27579 MiB, 4528 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 551.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:35.117, 27579 MiB, 4528 MiB, 96 %, 30 %, 80, 2820 MHz, 3090 MHz, 485.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:40.119, 27579 MiB, 4528 MiB, 96 %, 30 %, 80, 2820 MHz, 3090 MHz, 550.65 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:45.120, 27579 MiB, 4528 MiB, 80 %, 30 %, 79, 2820 MHz, 3090 MHz, 550.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:50.122, 27579 MiB, 4528 MiB, 89 %, 39 %, 81, 2820 MHz, 3090 MHz, 550.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:55.125, 27579 MiB, 4528 MiB, 98 %, 27 %, 81, 2812 MHz, 3090 MHz, 553.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:00.127, 27579 MiB, 4528 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 553.61 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:05.128, 27579 MiB, 4528 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 550.56 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:10.131, 27579 MiB, 4528 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 550.41 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:15.133, 27579 MiB, 4528 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 551.23 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:20.135, 27579 MiB, 4528 MiB, 99 %, 32 %, 79, 2820 MHz, 3090 MHz, 546.72 W, P1, 0x0000000000000004, Not Active, Active
