timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/12 03:18:23.788, 27619 MiB, 4488 MiB, 91 %, 33 %, 79, 2812 MHz, 3090 MHz, 540.88 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:18:53.800, 27619 MiB, 4488 MiB, 96 %, 30 %, 82, 2820 MHz, 3090 MHz, 544.25 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:19:23.810, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 540.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:19:53.822, 27619 MiB, 4488 MiB, 97 %, 21 %, 80, 2812 MHz, 3090 MHz, 541.58 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:20:23.833, 27619 MiB, 4488 MiB, 28 %, 8 %, 74, 2827 MHz, 3090 MHz, 512.89 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:20:53.846, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 541.95 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:21:23.857, 27629 MiB, 4478 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 492.89 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:21:53.868, 27619 MiB, 4488 MiB, 98 %, 30 %, 76, 2812 MHz, 3090 MHz, 503.21 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:22:23.880, 27619 MiB, 4488 MiB, 96 %, 30 %, 81, 2835 MHz, 3090 MHz, 467.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:22:53.891, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 540.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:23:23.903, 27641 MiB, 4465 MiB, 90 %, 37 %, 78, 2812 MHz, 3090 MHz, 523.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:23:53.915, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 541.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:24:23.928, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 541.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:24:53.940, 27619 MiB, 4488 MiB, 96 %, 31 %, 80, 2820 MHz, 3090 MHz, 538.56 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:25:23.951, 27629 MiB, 4478 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 540.61 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:25:53.964, 27619 MiB, 4488 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 540.17 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:26:23.975, 27619 MiB, 4488 MiB, 97 %, 23 %, 80, 2812 MHz, 3090 MHz, 538.95 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:26:53.987, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 543.66 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:27:23.998, 27641 MiB, 4465 MiB, 94 %, 31 %, 78, 2827 MHz, 3090 MHz, 475.86 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:27:54.010, 27619 MiB, 4488 MiB, 96 %, 30 %, 80, 2820 MHz, 3090 MHz, 541.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:28:24.021, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 541.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:28:54.034, 27619 MiB, 4488 MiB, 97 %, 23 %, 80, 2812 MHz, 3090 MHz, 539.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:29:24.046, 27619 MiB, 4488 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 540.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:29:54.057, 27619 MiB, 4488 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 543.80 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:30:24.069, 27619 MiB, 4488 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 541.92 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:30:54.080, 27629 MiB, 4478 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 542.51 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:31:24.092, 27619 MiB, 4488 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 547.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:31:54.102, 27619 MiB, 4488 MiB, 99 %, 30 %, 83, 2812 MHz, 3090 MHz, 541.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:32:24.113, 27619 MiB, 4488 MiB, 85 %, 27 %, 80, 2812 MHz, 3090 MHz, 543.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:32:54.125, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 541.11 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:33:24.136, 27619 MiB, 4488 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 543.18 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:33:54.147, 27619 MiB, 4488 MiB, 97 %, 23 %, 81, 2820 MHz, 3090 MHz, 540.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:34:24.159, 27629 MiB, 4478 MiB, 96 %, 30 %, 81, 2812 MHz, 3090 MHz, 542.25 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:34:54.172, 27619 MiB, 4488 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 541.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:35:24.184, 27619 MiB, 4488 MiB, 98 %, 29 %, 75, 2820 MHz, 3090 MHz, 530.69 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:35:54.195, 27619 MiB, 4488 MiB, 99 %, 30 %, 82, 2812 MHz, 3090 MHz, 541.87 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:36:24.207, 27619 MiB, 4488 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 543.06 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:36:54.219, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 508.97 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:37:24.230, 27619 MiB, 4488 MiB, 97 %, 24 %, 80, 2820 MHz, 3090 MHz, 542.74 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:37:54.241, 27619 MiB, 4488 MiB, 96 %, 30 %, 80, 2812 MHz, 3090 MHz, 541.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:38:24.253, 27641 MiB, 4465 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 545.60 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:38:54.263, 27619 MiB, 4488 MiB, 98 %, 24 %, 81, 2820 MHz, 3090 MHz, 543.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:39:24.276, 27619 MiB, 4488 MiB, 99 %, 30 %, 80, 2812 MHz, 3090 MHz, 541.11 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:39:54.287, 27641 MiB, 4465 MiB, 99 %, 32 %, 78, 2820 MHz, 3090 MHz, 538.66 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:40:24.299, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 543.39 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:40:54.310, 27619 MiB, 4488 MiB, 88 %, 25 %, 82, 2812 MHz, 3090 MHz, 541.50 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:41:24.322, 27619 MiB, 4488 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 538.16 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:41:54.333, 27641 MiB, 4465 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 539.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:42:24.345, 27619 MiB, 4488 MiB, 99 %, 30 %, 82, 2812 MHz, 3090 MHz, 541.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:42:54.356, 27619 MiB, 4488 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 539.49 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:43:24.368, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 539.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:43:54.380, 27619 MiB, 4488 MiB, 89 %, 25 %, 82, 2812 MHz, 3090 MHz, 540.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:44:24.391, 27619 MiB, 4488 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 542.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:44:54.403, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 542.63 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:45:24.414, 27629 MiB, 4478 MiB, 95 %, 31 %, 76, 2812 MHz, 3090 MHz, 511.27 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:45:54.425, 27619 MiB, 4488 MiB, 96 %, 29 %, 81, 2812 MHz, 3090 MHz, 540.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:46:24.436, 27619 MiB, 4488 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 531.14 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:46:54.447, 27619 MiB, 4488 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 508.36 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:47:24.459, 27619 MiB, 4488 MiB, 4 %, 0 %, 82, 2812 MHz, 3090 MHz, 478.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:47:54.471, 27619 MiB, 4488 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 544.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:48:24.482, 27619 MiB, 4488 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 540.61 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:48:54.495, 27619 MiB, 4488 MiB, 90 %, 37 %, 82, 2812 MHz, 3090 MHz, 541.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:49:24.508, 27641 MiB, 4465 MiB, 99 %, 30 %, 82, 2812 MHz, 3090 MHz, 543.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:49:54.519, 27619 MiB, 4488 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 539.45 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 03:50:24.530, 27619 MiB, 4488 MiB, 97 %, 27 %, 81, 2812 MHz, 3090 MHz, 542.25 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:50:54.542, 27641 MiB, 4465 MiB, 96 %, 30 %, 82, 2812 MHz, 3090 MHz, 541.06 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 03:51:24.553, 27619 MiB, 4488 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 542.49 W, P1, 0x0000000000000004, Not Active, Active
