timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/12 19:00:53.540, 30123 MiB, 1983 MiB, 83 %, 27 %, 79, 2812 MHz, 3090 MHz, 526.80 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:01:23.551, 30123 MiB, 1983 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 524.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:01:53.562, 30123 MiB, 1983 MiB, 96 %, 28 %, 81, 2827 MHz, 3090 MHz, 461.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:02:23.573, 30123 MiB, 1983 MiB, 91 %, 30 %, 81, 2820 MHz, 3090 MHz, 529.71 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:02:53.585, 30123 MiB, 1983 MiB, 99 %, 29 %, 80, 2827 MHz, 3090 MHz, 529.86 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:03:23.596, 30123 MiB, 1983 MiB, 99 %, 30 %, 79, 2820 MHz, 3090 MHz, 531.96 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:03:53.607, 30123 MiB, 1983 MiB, 98 %, 27 %, 80, 2820 MHz, 3090 MHz, 524.49 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:04:23.620, 30123 MiB, 1983 MiB, 99 %, 30 %, 79, 2820 MHz, 3090 MHz, 524.43 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:04:53.631, 30123 MiB, 1983 MiB, 99 %, 29 %, 79, 2827 MHz, 3090 MHz, 530.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:05:23.643, 29978 MiB, 2129 MiB, 99 %, 30 %, 81, 2812 MHz, 3090 MHz, 491.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:05:53.655, 30000 MiB, 2107 MiB, 99 %, 30 %, 83, 2820 MHz, 3090 MHz, 565.73 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:06:23.666, 30124 MiB, 1983 MiB, 99 %, 30 %, 80, 2820 MHz, 3090 MHz, 513.97 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:06:53.677, 30124 MiB, 1983 MiB, 99 %, 28 %, 80, 2820 MHz, 3090 MHz, 511.41 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:07:23.690, 30124 MiB, 1983 MiB, 99 %, 28 %, 80, 2820 MHz, 3090 MHz, 512.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:07:53.703, 30124 MiB, 1983 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 522.87 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:08:23.713, 30124 MiB, 1983 MiB, 93 %, 32 %, 79, 2820 MHz, 3090 MHz, 526.68 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:08:53.725, 30124 MiB, 1983 MiB, 99 %, 31 %, 79, 2827 MHz, 3090 MHz, 529.72 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:09:23.736, 30124 MiB, 1983 MiB, 99 %, 30 %, 79, 2820 MHz, 3090 MHz, 530.29 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:09:53.748, 30124 MiB, 1983 MiB, 89 %, 30 %, 77, 2820 MHz, 3090 MHz, 528.71 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:10:23.760, 30124 MiB, 1983 MiB, 99 %, 30 %, 78, 2820 MHz, 3090 MHz, 530.23 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:10:53.771, 30124 MiB, 1983 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 525.46 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:11:23.783, 30124 MiB, 1983 MiB, 96 %, 28 %, 81, 2820 MHz, 3090 MHz, 532.67 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:11:53.794, 30124 MiB, 1983 MiB, 98 %, 30 %, 80, 2827 MHz, 3090 MHz, 530.72 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:12:23.807, 29978 MiB, 2129 MiB, 99 %, 31 %, 79, 2827 MHz, 3090 MHz, 563.47 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:12:53.818, 30000 MiB, 2107 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 564.50 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:13:23.831, 30124 MiB, 1983 MiB, 98 %, 25 %, 80, 2820 MHz, 3090 MHz, 521.41 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:13:53.843, 30128 MiB, 1979 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 521.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:14:23.853, 30124 MiB, 1983 MiB, 99 %, 29 %, 79, 2820 MHz, 3090 MHz, 520.89 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:14:53.865, 30127 MiB, 1980 MiB, 98 %, 29 %, 79, 2827 MHz, 3090 MHz, 526.03 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:15:23.878, 30127 MiB, 1980 MiB, 91 %, 30 %, 77, 2820 MHz, 3090 MHz, 523.73 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:15:53.889, 30127 MiB, 1980 MiB, 99 %, 31 %, 80, 2827 MHz, 3090 MHz, 528.65 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:16:23.901, 30126 MiB, 1981 MiB, 99 %, 30 %, 79, 2820 MHz, 3090 MHz, 529.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:16:53.913, 30126 MiB, 1981 MiB, 99 %, 29 %, 81, 2827 MHz, 3090 MHz, 522.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:17:23.925, 30126 MiB, 1981 MiB, 93 %, 25 %, 80, 2820 MHz, 3090 MHz, 530.82 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:17:53.936, 30126 MiB, 1981 MiB, 99 %, 29 %, 79, 2820 MHz, 3090 MHz, 530.09 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:18:23.947, 30126 MiB, 1981 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 529.48 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:18:53.960, 30126 MiB, 1981 MiB, 99 %, 29 %, 81, 2820 MHz, 3090 MHz, 529.20 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:19:23.970, 30126 MiB, 1981 MiB, 88 %, 23 %, 77, 2812 MHz, 3090 MHz, 519.28 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:19:53.981, 29983 MiB, 2124 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 565.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:20:23.993, 30002 MiB, 2105 MiB, 99 %, 32 %, 81, 2805 MHz, 3090 MHz, 566.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:20:54.004, 30126 MiB, 1981 MiB, 98 %, 23 %, 79, 2820 MHz, 3090 MHz, 519.87 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:21:24.015, 30126 MiB, 1981 MiB, 99 %, 30 %, 79, 2827 MHz, 3090 MHz, 521.35 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:21:54.026, 30126 MiB, 1981 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 519.64 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:22:24.037, 30125 MiB, 1982 MiB, 99 %, 29 %, 77, 2827 MHz, 3090 MHz, 521.36 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:22:54.049, 30125 MiB, 1982 MiB, 98 %, 24 %, 76, 2827 MHz, 3090 MHz, 520.40 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:23:24.061, 30125 MiB, 1982 MiB, 91 %, 34 %, 77, 2820 MHz, 3090 MHz, 510.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:23:54.073, 30125 MiB, 1982 MiB, 96 %, 28 %, 80, 2812 MHz, 3090 MHz, 516.81 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:24:24.084, 30125 MiB, 1982 MiB, 99 %, 29 %, 79, 2827 MHz, 3090 MHz, 516.01 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:24:54.096, 30125 MiB, 1982 MiB, 99 %, 28 %, 79, 2827 MHz, 3090 MHz, 522.72 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:25:24.109, 30177 MiB, 1930 MiB, 96 %, 28 %, 79, 2827 MHz, 3090 MHz, 520.59 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:25:54.120, 30177 MiB, 1930 MiB, 97 %, 27 %, 78, 2827 MHz, 3090 MHz, 521.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:26:24.132, 30177 MiB, 1930 MiB, 99 %, 29 %, 79, 2827 MHz, 3090 MHz, 520.92 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:26:54.142, 30177 MiB, 1930 MiB, 99 %, 30 %, 78, 2827 MHz, 3090 MHz, 522.37 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:27:24.162, 30030 MiB, 2077 MiB, 99 %, 30 %, 81, 2812 MHz, 3090 MHz, 561.18 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:27:54.173, 30052 MiB, 2055 MiB, 97 %, 24 %, 82, 2820 MHz, 3090 MHz, 561.73 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:28:24.184, 30175 MiB, 1931 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 523.26 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:28:54.196, 30179 MiB, 1928 MiB, 99 %, 29 %, 80, 2827 MHz, 3090 MHz, 521.18 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:29:24.209, 30178 MiB, 1929 MiB, 97 %, 28 %, 80, 2820 MHz, 3090 MHz, 526.57 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:29:54.220, 30178 MiB, 1929 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 528.64 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:30:24.232, 30178 MiB, 1929 MiB, 99 %, 30 %, 78, 2827 MHz, 3090 MHz, 527.17 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:30:54.244, 30178 MiB, 1929 MiB, 4 %, 0 %, 78, 2827 MHz, 3090 MHz, 461.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:31:24.256, 30178 MiB, 1929 MiB, 99 %, 31 %, 77, 2820 MHz, 3090 MHz, 519.07 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:31:54.269, 30178 MiB, 1929 MiB, 99 %, 29 %, 78, 2820 MHz, 3090 MHz, 525.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:32:24.280, 30178 MiB, 1929 MiB, 92 %, 28 %, 80, 2820 MHz, 3090 MHz, 529.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:32:54.292, 30178 MiB, 1929 MiB, 99 %, 30 %, 80, 2820 MHz, 3090 MHz, 529.03 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:33:24.303, 30178 MiB, 1929 MiB, 99 %, 31 %, 78, 2827 MHz, 3090 MHz, 529.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:33:54.314, 30178 MiB, 1929 MiB, 96 %, 28 %, 78, 2820 MHz, 3090 MHz, 528.03 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:34:24.327, 30178 MiB, 1929 MiB, 98 %, 26 %, 80, 2820 MHz, 3090 MHz, 523.48 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:34:54.337, 30033 MiB, 2074 MiB, 99 %, 31 %, 82, 2820 MHz, 3090 MHz, 561.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:35:24.350, 30055 MiB, 2052 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 562.50 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:35:54.363, 30055 MiB, 2052 MiB, 99 %, 32 %, 82, 2820 MHz, 3090 MHz, 568.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:36:24.373, 30055 MiB, 2052 MiB, 99 %, 31 %, 82, 2820 MHz, 3090 MHz, 565.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:36:54.385, 30179 MiB, 1928 MiB, 99 %, 28 %, 81, 2827 MHz, 3090 MHz, 522.33 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:37:24.396, 30179 MiB, 1928 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 517.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:37:54.408, 30180 MiB, 1927 MiB, 99 %, 31 %, 76, 2827 MHz, 3090 MHz, 517.51 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:38:24.419, 30178 MiB, 1929 MiB, 99 %, 30 %, 78, 2827 MHz, 3090 MHz, 522.94 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:38:54.430, 30178 MiB, 1929 MiB, 99 %, 29 %, 78, 2820 MHz, 3090 MHz, 529.29 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:39:24.442, 30178 MiB, 1929 MiB, 99 %, 32 %, 78, 2827 MHz, 3090 MHz, 453.68 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:39:54.453, 30178 MiB, 1929 MiB, 99 %, 29 %, 79, 2820 MHz, 3090 MHz, 514.73 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:40:24.464, 30178 MiB, 1929 MiB, 98 %, 26 %, 79, 2827 MHz, 3090 MHz, 530.59 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:40:54.477, 30178 MiB, 1929 MiB, 99 %, 32 %, 80, 2827 MHz, 3090 MHz, 532.00 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:41:24.488, 30178 MiB, 1929 MiB, 99 %, 29 %, 81, 2820 MHz, 3090 MHz, 531.88 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:41:54.499, 30178 MiB, 1929 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 528.70 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:42:24.510, 30178 MiB, 1929 MiB, 91 %, 34 %, 80, 2820 MHz, 3090 MHz, 523.95 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:42:54.522, 30178 MiB, 1929 MiB, 99 %, 29 %, 81, 2827 MHz, 3090 MHz, 533.75 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:43:24.533, 30032 MiB, 2075 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 558.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:43:54.543, 30053 MiB, 2053 MiB, 96 %, 29 %, 82, 2820 MHz, 3090 MHz, 564.73 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:44:24.554, 30176 MiB, 1930 MiB, 90 %, 27 %, 80, 2820 MHz, 3090 MHz, 512.24 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:44:54.566, 30176 MiB, 1930 MiB, 97 %, 23 %, 80, 2820 MHz, 3090 MHz, 512.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:45:24.579, 30176 MiB, 1930 MiB, 99 %, 29 %, 79, 2827 MHz, 3090 MHz, 519.36 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:45:54.590, 30176 MiB, 1930 MiB, 96 %, 28 %, 80, 2820 MHz, 3090 MHz, 525.06 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:46:24.600, 30176 MiB, 1930 MiB, 6 %, 0 %, 80, 2820 MHz, 3090 MHz, 463.29 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:46:54.610, 30176 MiB, 1930 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 525.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:47:24.622, 30176 MiB, 1930 MiB, 96 %, 28 %, 78, 2827 MHz, 3090 MHz, 529.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:47:54.633, 30176 MiB, 1930 MiB, 91 %, 30 %, 80, 2820 MHz, 3090 MHz, 529.66 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:48:24.645, 30176 MiB, 1930 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 521.48 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:48:54.657, 30176 MiB, 1930 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 524.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:49:24.668, 30178 MiB, 1929 MiB, 99 %, 29 %, 77, 2827 MHz, 3090 MHz, 525.63 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:49:54.679, 30178 MiB, 1929 MiB, 96 %, 28 %, 78, 2827 MHz, 3090 MHz, 528.14 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:50:24.690, 30178 MiB, 1929 MiB, 98 %, 29 %, 79, 2827 MHz, 3090 MHz, 529.65 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:50:54.702, 30033 MiB, 2074 MiB, 99 %, 32 %, 82, 2820 MHz, 3090 MHz, 560.18 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:51:24.713, 30055 MiB, 2052 MiB, 99 %, 29 %, 82, 2820 MHz, 3090 MHz, 567.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:51:54.725, 30056 MiB, 2051 MiB, 92 %, 30 %, 81, 2812 MHz, 3090 MHz, 558.66 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:52:24.737, 30056 MiB, 2051 MiB, 99 %, 33 %, 81, 2820 MHz, 3090 MHz, 566.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:52:54.749, 30179 MiB, 1928 MiB, 96 %, 28 %, 81, 2827 MHz, 3090 MHz, 519.45 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:53:24.762, 30179 MiB, 1928 MiB, 99 %, 28 %, 80, 2827 MHz, 3090 MHz, 520.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:53:54.773, 30179 MiB, 1928 MiB, 99 %, 29 %, 77, 2820 MHz, 3090 MHz, 526.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:54:24.785, 30178 MiB, 1929 MiB, 98 %, 30 %, 79, 2827 MHz, 3090 MHz, 529.05 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:54:54.795, 30178 MiB, 1929 MiB, 99 %, 30 %, 78, 2827 MHz, 3090 MHz, 528.60 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:55:24.807, 30178 MiB, 1929 MiB, 99 %, 30 %, 80, 2820 MHz, 3090 MHz, 521.65 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:55:54.818, 30178 MiB, 1929 MiB, 98 %, 26 %, 79, 2820 MHz, 3090 MHz, 530.32 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:56:24.830, 30178 MiB, 1929 MiB, 99 %, 32 %, 80, 2827 MHz, 3090 MHz, 530.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:56:54.842, 30178 MiB, 1929 MiB, 96 %, 28 %, 79, 2827 MHz, 3090 MHz, 453.57 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:57:24.853, 30178 MiB, 1929 MiB, 97 %, 20 %, 77, 2820 MHz, 3090 MHz, 525.23 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 19:57:54.864, 30178 MiB, 1929 MiB, 99 %, 29 %, 79, 2827 MHz, 3090 MHz, 529.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:58:24.875, 30178 MiB, 1929 MiB, 96 %, 28 %, 80, 2827 MHz, 3090 MHz, 524.02 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:58:54.888, 30032 MiB, 2075 MiB, 99 %, 30 %, 81, 2827 MHz, 3090 MHz, 566.63 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:59:24.900, 30054 MiB, 2053 MiB, 99 %, 30 %, 80, 2820 MHz, 3090 MHz, 567.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 19:59:54.911, 30178 MiB, 1929 MiB, 98 %, 26 %, 79, 2827 MHz, 3090 MHz, 519.71 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 20:00:24.921, 30176 MiB, 1931 MiB, 99 %, 29 %, 78, 2827 MHz, 3090 MHz, 519.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 20:00:54.935, 30176 MiB, 1931 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 518.73 W, P1, 0x0000000000000004, Not Active, Active
